,texture,pattern,material,location,disposition,colour,shape,width_meters,width_centimeters,width_millimeters,width_inches,width_feet,height_meters,height_centimeters,height_millimeters,height_inches,height_feet,length_meters,length_centimeters,length_millimeters,length_inches,length_feet,weight_kilograms,weight_grams,weight_pounds,weight_ounces,value_US dollars,value_euros,value_pounds,temperature_celsius,temperature_fahrenheit,temperature_kelvin,concept,model_name
0,[],[],"['leather', 'rubber']",['hand'],,['yellow'],['cylindrical'],0.3,25.0,250.0,9.5,0.5,0.25,25.4,300.0,10.5,0.25,0.5,35.0,350.0,12.0,3.5,0.5,400.0,0.5,12.0,50.0,35.0,25.0,20.0,72.0,293.15,baseball glove,qwen25_7b_standard
1,[],[],"['cork', 'leather']",['field'],['protective'],['black'],['cylindrical'],0.3,25.4,300.0,10.5,0.5,0.5,25.4,350.0,12.0,3.5,0.3,35.0,350.0,12.0,2.5,0.75,450.0,0.5,12.5,50.0,50.0,25.0,20.0,72.0,293.15,baseball glove,qwen25_7b_standard
2,[],[],"['leather', 'rubber']",['hand'],['protective'],['yellow'],['cylindrical'],0.25,25.0,300.0,10.5,0.5,0.25,25.4,300.0,10.5,3.5,0.25,35.0,350.0,10.5,4.5,0.75,300.0,0.5,12.0,50.0,35.0,15.0,20.0,72.0,298.15,baseball glove,qwen25_7b_standard
3,[],[],"['cotton', 'leather', 'rubber']",['hand'],['protective'],['yellow'],"['cylindrical', 'oval']",0.25,25.4,250.0,9.5,3.0,0.25,25.4,300.0,9.0,0.25,0.25,35.0,350.0,10.5,3.5,0.5,380.0,1.5,12.0,50.0,50.0,25.0,20.0,72.0,293.15,baseball glove,qwen25_7b_standard
4,[],[],"['cotton', 'leather', 'nylon']",[],['protective'],['yellow'],"['cylindrical', 'oblong']",0.3,25.4,300.0,10.5,0.25,0.25,25.4,300.0,12.0,2.0,0.25,30.5,350.0,10.5,4.5,0.5,350.0,0.5,12.0,50.0,50.0,20.5,20.0,72.0,293.15,baseball glove,qwen25_7b_standard
5,[],[],"['leather', 'rubber']",['hand'],,['yellow'],"['cylindrical', 'u-shape']",0.3,25.0,300.0,9.0,0.5,0.25,25.4,280.0,10.5,0.25,0.25,35.0,300.0,12.5,4.5,0.85,450.0,0.5,12.5,50.0,50.0,25.0,20.5,72.0,298.15,baseball glove,qwen25_7b_standard
6,[],[],"['leather', 'skin']",['field'],['protective'],['yellow'],['cylindrical'],0.3,25.0,250.0,9.0,2.5,0.25,25.0,280.0,10.5,1.5,0.25,30.5,350.0,12.0,3.5,0.5,350.0,0.5,14.5,50.0,50.0,25.0,20.0,72.0,293.15,baseball glove,qwen25_7b_standard
7,[],[],"['leather', 'rubber']",['field'],['protective'],['yellow'],['cylindrical'],0.3,25.0,300.0,10.5,3.0,0.25,25.4,280.0,10.5,0.25,0.85,35.0,300.0,12.0,3.5,0.5,304.8,0.5,12.0,50.0,35.0,25.0,20.0,72.0,298.15,baseball glove,qwen25_7b_standard
8,[],[],"['leather', 'rubber']",['hand'],['protective'],['yellow'],['cylindrical'],0.5,25.4,250.0,9.5,0.25,0.25,25.4,280.0,10.5,2.0,0.25,30.5,300.0,12.0,3.5,0.5,450.0,0.5,12.5,50.0,50.0,15.0,20.0,80.0,293.15,baseball glove,qwen25_7b_standard
9,[],[],"['leather', 'skin']",['field'],['protective'],['yellow'],['cylindrical'],0.3,25.0,300.0,9.5,4.0,0.25,25.4,280.0,10.5,0.5,0.5,30.5,350.0,10.5,3.5,0.75,350.0,0.5,32.5,50.0,50.0,20.5,20.0,72.0,293.15,baseball glove,qwen25_7b_standard
10,[],[],"['cotton', 'leather', 'wool']",['field'],[],['yellow'],['cylindrical'],0.25,25.4,300.0,10.5,3.0,0.5,25.4,280.0,12.0,3.0,0.25,35.0,300.0,12.5,3.5,0.5,304.8,0.5,12.5,50.0,50.0,25.0,20.0,72.0,293.15,baseball glove,qwen25_7b_standard
11,[],[],"['leather', 'nylon']",['field'],['protective'],['yellow'],"['cylindrical', 'oval']",0.5,25.4,250.0,10.5,3.0,0.25,25.4,280.0,10.5,3.5,0.25,35.0,350.0,12.0,3.0,0.5,450.0,0.5,12.0,50.0,50.0,20.5,20.0,72.0,298.15,baseball glove,qwen25_7b_standard
12,[],[],"['cotton', 'leather']",['hand'],[],['yellow'],['cylindrical'],0.5,25.0,300.0,9.5,0.5,0.25,25.4,280.0,10.5,2.0,0.25,35.0,350.0,11.0,3.5,0.5,320.0,0.5,12.0,50.0,50.0,15.0,20.0,72.0,293.15,baseball glove,qwen25_7b_standard
13,[],[],"['cotton', 'leather']",['field'],['protective'],['yellow'],['cylindrical'],0.25,25.4,300.0,10.5,0.5,0.25,25.4,300.0,10.5,3.5,0.25,35.0,300.0,10.5,3.5,0.5,400.0,0.5,32.0,50.0,50.0,25.0,20.0,72.0,298.15,baseball glove,qwen25_7b_standard
14,[],[],"['leather', 'skin']",['field'],['protective'],"['black', 'blue', 'grey', 'white', 'yellow']",['cylindrical'],0.5,25.0,300.0,9.5,0.5,0.5,25.0,300.0,10.5,0.25,0.25,30.5,350.0,10.5,3.5,0.5,450.0,0.5,12.5,50.0,50.0,25.0,20.0,72.0,293.15,baseball glove,qwen25_7b_standard
15,[],[],['leather'],['field'],['protective'],"['black', 'blue', 'green', 'grey', 'yellow']",['cylindrical'],0.5,25.0,280.0,9.0,0.5,0.25,25.4,300.0,12.0,0.25,0.85,35.0,300.0,12.0,3.5,0.85,380.0,0.5,12.5,50.0,50.0,25.0,20.0,72.0,298.15,baseball glove,qwen25_7b_standard
16,[],[],"['leather', 'skin']",['field'],['protective'],['yellow'],"['cylindrical', 'oval']",0.3,25.0,280.0,10.5,0.5,0.25,25.4,300.0,10.5,0.25,0.3,35.0,300.0,12.0,3.5,0.75,400.0,0.5,12.5,50.0,50.0,15.0,20.0,72.0,293.15,baseball glove,qwen25_7b_standard
17,[],[],"['leather', 'rubber']",['hand'],['protective'],['black'],"['cylindrical', 'oval']",0.35,25.4,300.0,9.5,3.5,0.25,25.4,350.0,10.5,1.5,0.25,35.0,300.0,12.5,3.5,0.5,380.0,0.5,12.0,50.0,50.0,15.0,20.0,72.0,298.15,baseball glove,qwen25_7b_standard
18,[],[],"['leather', 'rubber']",['field'],['protective'],"['black', 'blue', 'green', 'grey', 'yellow']","['cylindrical', 'oval']",0.5,25.0,280.0,10.5,4.5,0.25,25.4,300.0,10.5,0.5,0.25,35.0,350.0,12.0,3.5,0.5,300.0,0.5,12.0,50.0,50.0,25.0,20.0,72.0,293.15,baseball glove,qwen25_7b_standard
19,[],[],"['leather', 'nylon']",['field'],['protective'],['yellow'],['cylindrical'],0.35,25.4,250.0,9.5,0.5,0.25,25.4,250.0,10.5,0.5,0.3,35.0,350.0,12.0,3.5,0.75,304.8,0.5,32.5,50.0,50.0,25.0,20.0,72.0,298.15,baseball glove,qwen25_7b_standard
20,['smooth'],[],['plastic'],['park'],[],['yellow'],['disk'],0.254,25.4,254.0,10.0,0.8333,0.254,25.4,254.0,0.5,0.8333,0.254,25.4,254.0,10.0,0.8333,0.17,120.0,0.15,0.15,5.0,5.99,0.25,25.0,72.0,298.15,frisbee,qwen25_7b_standard
21,['smooth'],[],['plastic'],['park'],[],['yellow'],['disk'],0.254,25.4,254.0,10.0,0.8333,0.254,25.4,254.0,3.0,0.8333,0.254,25.4,254.0,10.0,0.8333,0.17,125.0,0.175,0.15,5.0,5.99,0.5,25.0,72.0,293.15,frisbee,qwen25_7b_standard
22,['smooth'],[],['plastic'],['park'],[],['yellow'],['disk'],0.254,25.4,254.0,10.0,0.8333,0.254,25.4,254.0,10.0,0.8333,0.254,25.4,254.0,10.0,0.8333,0.17,125.0,0.175,5.3,5.0,5.5,0.15,20.5,72.0,298.15,frisbee,qwen25_7b_standard
23,['smooth'],[],['plastic'],['park'],[],['yellow'],['disk'],0.254,25.4,254.0,10.0,0.8333,0.254,25.4,254.0,0.5,0.8333,0.254,25.4,254.0,10.0,0.8333,0.17,125.0,0.15,0.175,5.0,5.5,0.5,25.0,72.0,298.15,frisbee,qwen25_7b_standard
24,"['glossy', 'smooth']",[],['plastic'],"['backyard', 'beach', 'campsite', 'park']",[],"['blue', 'green', 'red', 'white', 'yellow']",['disk'],0.254,25.4,254.0,10.0,0.8333,0.254,25.4,254.0,10.0,0.8333,0.254,25.4,254.0,10.0,0.8333,0.17,120.0,0.2,0.15,5.0,5.99,0.15,25.0,72.0,293.15,frisbee,qwen25_7b_standard
25,['smooth'],[],['plastic'],['park'],[],"['black', 'blue', 'green', 'red', 'white', 'yellow']",['disk'],0.254,25.4,254.0,10.0,0.8333,0.254,25.4,254.0,3.57,0.8333,0.254,25.4,254.0,10.0,0.8333,0.17,125.0,0.175,5.3,5.0,5.0,0.25,25.0,72.0,293.15,frisbee,qwen25_7b_standard
26,['smooth'],[],['plastic'],['park'],[],['yellow'],['disk'],0.254,25.4,254.0,10.0,0.8333,0.254,25.4,254.0,0.5,0.8333,0.254,25.4,254.0,10.0,0.8333,0.17,125.0,0.15,5.3,5.0,5.99,0.25,20.5,72.0,293.15,frisbee,qwen25_7b_standard
27,"['grooved', 'smooth']",[],['plastic'],['park'],[],['yellow'],['disk'],0.254,25.4,254.0,10.0,0.8333,0.254,25.4,254.0,3.5,0.8333,0.254,25.4,254.0,10.0,0.8333,0.17,125.0,0.2,0.175,5.0,5.0,0.25,25.0,72.0,293.15,frisbee,qwen25_7b_standard
28,['smooth'],[],['plastic'],['park'],[],['yellow'],['disk'],0.254,25.4,254.0,10.0,0.8333,0.254,25.4,254.0,0.5,0.8333,0.254,25.4,254.0,10.0,0.8333,0.17,120.0,0.175,0.15,5.0,5.0,0.5,25.0,68.0,293.15,frisbee,qwen25_7b_standard
29,['smooth'],[],['plastic'],[],[],"['black', 'blue', 'green', 'red', 'white', 'yellow']",['disk'],0.254,25.4,254.0,10.0,0.8333,0.254,25.4,254.0,10.0,0.8333,0.254,25.4,254.0,10.0,0.8333,0.17,125.0,0.175,5.0,5.0,5.99,0.15,25.0,72.0,293.15,frisbee,qwen25_7b_standard
30,['smooth'],[],['plastic'],['park'],[],['yellow'],['disk'],0.254,25.4,254.0,10.0,0.8333,0.254,25.4,254.0,0.5,0.8333,0.254,25.4,254.0,10.0,0.8333,0.17,120.0,0.15,0.15,5.0,5.0,0.5,25.0,68.0,293.15,frisbee,qwen25_7b_standard
31,['smooth'],[],['plastic'],"['backyard', 'beach', 'campsite', 'park']",[],['yellow'],['disk'],0.254,25.4,254.0,10.0,0.8333,0.254,25.4,254.0,0.5,0.8333,0.254,25.4,254.0,10.0,0.8333,0.17,125.0,0.175,5.3,5.0,5.0,0.5,25.0,72.0,293.15,frisbee,qwen25_7b_standard
32,['smooth'],[],['plastic'],['park'],[],['yellow'],['disk'],0.254,25.4,254.0,10.0,0.8333,0.254,25.4,254.0,3.5,0.8333,0.254,25.4,254.0,10.0,0.8333,0.17,125.0,0.175,5.3,5.0,5.99,0.25,20.5,72.0,293.15,frisbee,qwen25_7b_standard
33,['smooth'],[],['plastic'],"['backyard', 'beach', 'campsite', 'field', 'park']",[],[],['disk'],0.254,25.4,254.0,10.0,0.8333,0.254,25.4,254.0,0.5,0.8333,0.254,25.4,254.0,10.0,0.8333,0.17,120.0,0.175,0.175,5.0,5.99,0.25,25.0,72.0,293.15,frisbee,qwen25_7b_standard
34,['smooth'],[],['plastic'],"['backyard', 'beach', 'campsite', 'park']",[],"['blue', 'green', 'red', 'white', 'yellow']",['disk'],0.254,25.4,254.0,10.0,0.8333,0.254,25.4,254.0,3.5,0.8333,0.254,25.4,254.0,10.0,0.8333,0.17,125.0,0.175,0.175,5.0,5.0,0.5,25.0,72.0,293.15,frisbee,qwen25_7b_standard
35,['smooth'],[],['plastic'],['park'],[],['yellow'],['disk'],0.254,25.4,254.0,10.0,0.8333,0.254,25.4,254.0,0.5,0.8333,0.254,25.4,254.0,10.0,0.8333,0.17,125.0,0.175,0.15,5.0,5.99,0.25,25.0,68.0,293.15,frisbee,qwen25_7b_standard
36,['smooth'],[],['plastic'],['park'],[],['red'],['disk'],0.254,25.4,254.0,10.0,0.8333,0.254,25.4,254.0,1.25,0.8333,0.254,25.4,254.0,10.0,0.8333,0.17,120.0,0.175,0.15,5.0,5.0,0.5,25.0,72.0,293.15,frisbee,qwen25_7b_standard
37,['smooth'],[],['plastic'],"['backyard', 'beach', 'campsite', 'park']",[],['yellow'],['disk'],0.254,25.4,254.0,10.0,0.8333,0.254,25.4,254.0,10.0,0.8333,0.254,25.4,254.0,10.0,0.8333,0.17,125.0,0.175,0.175,5.99,5.5,0.5,20.5,68.0,293.15,frisbee,qwen25_7b_standard
38,['smooth'],[],['plastic'],"['backyard', 'beach', 'campsite', 'park']",[],"['black', 'blue', 'green', 'orange', 'red', 'white', 'yellow']",['disk'],0.254,25.4,254.0,10.0,0.8333,0.254,25.4,254.0,0.5,0.8333,0.254,25.4,254.0,10.0,0.8333,0.17,125.0,0.15,0.175,5.0,5.5,0.25,25.0,72.0,293.15,frisbee,qwen25_7b_standard
39,['smooth'],[],['plastic'],"['backyard', 'beach', 'park']",[],['yellow'],['disk'],0.254,25.4,254.0,10.0,0.8333,0.254,25.4,254.0,3.5,0.8333,0.254,25.4,254.0,10.0,0.8333,0.17,125.0,0.175,0.15,5.0,5.0,0.25,25.0,72.0,293.15,frisbee,qwen25_7b_standard
40,['metallic'],[],"['metal', 'plastic']","['park', 'street']",[],['red'],"['cylindrical', 'octagon']",0.25,10.0,150.0,4.0,3.0,1.5,150.0,1500.0,6.0,6.0,1.5,150.0,1500.0,6.0,6.0,50.0,35000.0,150.0,150.0,200.0,250.0,0.0,15.0,68.0,293.15,fire hydrant,qwen25_7b_standard
41,['metallic'],[],"['plastic', 'steel']",[],[],"['red', 'yellow']","['cylindrical', 'octagon']",0.5,15.0,250.0,4.0,0.5,1.5,150.0,1500.0,6.0,6.0,1.5,150.0,1500.0,6.0,6.0,50.2,15000.0,200.0,150.0,500.0,250.0,,15.0,68.0,293.15,fire hydrant,qwen25_7b_standard
42,['metallic'],[],['steel'],"['garage', 'highway', 'road', 'street']",[],"['red', 'silver']","['cylindrical', 'octagon']",0.25,10.0,150.0,6.0,2.5,1.5,150.0,1500.0,6.0,6.0,1.5,150.0,1500.0,60.0,6.0,25.0,4500.0,150.0,250.0,200.0,200.0,0.0,15.0,50.0,298.15,fire hydrant,qwen25_7b_standard
43,['metallic'],[],['steel'],"['park', 'street']",[],"['red', 'yellow']","['cylindrical', 'octagon']",0.5,15.0,150.0,4.0,0.5,1.2,150.0,1500.0,6.0,6.0,1.5,150.0,1500.0,60.0,6.0,50.2,25000.0,200.0,300.0,200.0,250.0,0.0,15.0,50.0,293.15,fire hydrant,qwen25_7b_standard
44,['metallic'],[],['steel'],"['park', 'street']",[],['red'],"['cylindrical', 'octagon']",0.45,15.0,150.0,4.0,2.0,1.5,150.0,1500.0,6.0,6.0,1.5,150.0,1500.0,60.0,6.0,50.3,25000.0,250.0,80.0,200.0,200.5,0.0,15.0,68.0,293.15,fire hydrant,qwen25_7b_standard
45,['metallic'],[],[],['street'],[],['red'],"['cylindrical', 'octagon']",0.25,15.0,100.0,4.0,0.5,1.2,150.0,1500.0,6.0,6.0,1.5,150.0,1500.0,6.0,6.0,45.0,15000.0,150.0,150.0,,200.0,0.0,15.0,50.0,293.15,fire hydrant,qwen25_7b_standard
46,['metallic'],[],['steel'],['street'],[],"['red', 'yellow']","['cylindrical', 'octagon']",0.5,15.0,100.0,4.0,0.5,1.5,150.0,1500.0,6.0,6.0,1.5,150.0,1500.0,6.0,6.0,50.0,25000.0,150.0,350.0,500.0,200.0,,15.0,50.0,293.15,fire hydrant,qwen25_7b_standard
47,['metallic'],[],['steel'],"['highway', 'parking lot', 'street']",[],['red'],"['cylindrical', 'octagon']",0.25,25.4,150.0,4.0,0.5,1.5,150.0,1500.0,6.0,6.0,1.5,150.0,1500.0,60.0,6.0,50.0,15000.0,150.0,150.0,200.0,250.0,0.0,15.0,50.0,293.15,fire hydrant,qwen25_7b_standard
48,['metallic'],[],['steel'],"['park', 'schoolhouse', 'street']",[],['red'],"['cylindrical', 'octagon']",0.25,15.0,150.0,4.0,2.0,1.2,150.0,1500.0,6.0,6.0,1.2,150.0,1500.0,6.0,6.0,30.0,15000.0,150.0,150.0,200.0,250.0,0.0,15.0,50.0,273.15,fire hydrant,qwen25_7b_standard
49,['metallic'],[],['steel'],"['schoolhouse', 'street']",[],"['red', 'silver']","['cylindrical', 'octagon']",0.5,10.0,250.0,4.0,0.5,1.5,150.0,1500.0,6.0,6.0,1.2,150.0,1500.0,60.0,6.0,50.0,20000.0,150.0,80.0,200.0,200.5,0.0,15.0,50.0,293.15,fire hydrant,qwen25_7b_standard
50,['metallic'],[],['steel'],"['road', 'street']",[],['red'],"['cylindrical', 'octagon']",0.5,15.0,150.0,4.0,0.5,1.5,150.0,1500.0,6.0,6.0,1.5,150.0,1500.0,6.0,6.0,45.3,15000.0,250.0,50.0,200.0,200.0,,15.0,50.0,293.15,fire hydrant,qwen25_7b_standard
51,['metallic'],[],['steel'],"['parking lot', 'road', 'street']",[],"['red', 'yellow']","['cylindrical', 'octagon']",0.5,15.0,150.0,4.0,4.0,1.5,150.0,1500.0,6.0,6.0,1.5,150.0,1500.0,60.0,6.0,150.0,30000.0,150.0,85.0,200.0,200.5,,15.0,50.0,293.15,fire hydrant,qwen25_7b_standard
52,['metallic'],[],['steel'],"['park', 'road', 'street']",[],['red'],"['cylindrical', 'octagon']",0.25,15.0,100.0,4.0,3.0,1.2,150.0,1500.0,6.0,6.0,1.5,150.0,1500.0,60.0,6.0,45.0,15000.0,150.0,150.0,500.0,250.0,,15.0,50.0,293.15,fire hydrant,qwen25_7b_standard
