filename,emotion
img_arr_13696.npy,Peace
img_arr_8679.npy,Peace
img_arr_11758.npy,Peace
img_arr_12646.npy,Peace
img_arr_7395.npy,Peace
img_arr_11117.npy,Affection
img_arr_16817.npy,Affection
img_arr_2458.npy,Affection
img_arr_8681.npy,Affection
img_arr_125.npy,Affection
img_arr_13613.npy,Esteem
img_arr_12030.npy,Esteem
img_arr_8343.npy,Esteem
img_arr_12561.npy,Esteem
img_arr_1552.npy,Esteem
img_arr_6365.npy,Anticipation
img_arr_9138.npy,Anticipation
img_arr_3474.npy,Anticipation
img_arr_4564.npy,Anticipation
img_arr_15341.npy,Anticipation
img_arr_5715.npy,Engagement
img_arr_14971.npy,Engagement
img_arr_937.npy,Engagement
img_arr_12896.npy,Engagement
img_arr_307.npy,Engagement
img_arr_7569.npy,Confidence
img_arr_15994.npy,Confidence
img_arr_418.npy,Confidence
img_arr_1091.npy,Confidence
img_arr_2967.npy,Confidence
img_arr_9359.npy,Happiness
img_arr_9008.npy,Happiness
img_arr_13261.npy,Happiness
img_arr_8534.npy,Happiness
img_arr_1258.npy,Happiness
img_arr_13220.npy,Pleasure
img_arr_8675.npy,Pleasure
img_arr_4437.npy,Pleasure
img_arr_3410.npy,Pleasure
img_arr_11247.npy,Pleasure
img_arr_12131.npy,Excitement
img_arr_5661.npy,Excitement
img_arr_14824.npy,Excitement
img_arr_14551.npy,Excitement
img_arr_12131.npy,Excitement
img_arr_11769.npy,Surprise
img_arr_16776.npy,Surprise
img_arr_11524.npy,Surprise
img_arr_4333.npy,Surprise
img_arr_1530.npy,Surprise
img_arr_14696.npy,Sympathy
img_arr_4748.npy,Sympathy
img_arr_14900.npy,Sympathy
img_arr_15021.npy,Sympathy
img_arr_13076.npy,Sympathy
img_arr_5091.npy,Doubt/Confusion
img_arr_8388.npy,Doubt/Confusion
img_arr_9505.npy,Doubt/Confusion
img_arr_5392.npy,Doubt/Confusion
img_arr_15519.npy,Doubt/Confusion
img_arr_3957.npy,Disconnection
img_arr_11961.npy,Disconnection
img_arr_5964.npy,Disconnection
img_arr_1087.npy,Disconnection
img_arr_14900.npy,Disconnection
img_arr_2608.npy,Fatigue
img_arr_2367.npy,Fatigue
img_arr_14900.npy,Fatigue
img_arr_1976.npy,Fatigue
img_arr_2239.npy,Fatigue
img_arr_3845.npy,Embarrassment
img_arr_8602.npy,Embarrassment
img_arr_2726.npy,Embarrassment
img_arr_11761.npy,Embarrassment
img_arr_10349.npy,Embarrassment
img_arr_5833.npy,Yearning
img_arr_7767.npy,Yearning
img_arr_8387.npy,Yearning
img_arr_5857.npy,Yearning
img_arr_16735.npy,Yearning
img_arr_2784.npy,Disapproval
img_arr_9179.npy,Disapproval
img_arr_4861.npy,Disapproval
img_arr_9271.npy,Disapproval
img_arr_12529.npy,Disapproval
img_arr_12337.npy,Aversion
img_arr_4530.npy,Aversion
img_arr_5571.npy,Aversion
img_arr_10208.npy,Aversion
img_arr_12612.npy,Aversion
img_arr_13183.npy,Annoyance
img_arr_2605.npy,Annoyance
img_arr_12812.npy,Annoyance
img_arr_1334.npy,Annoyance
img_arr_1480.npy,Annoyance
img_arr_10919.npy,Anger
img_arr_10430.npy,Anger
img_arr_14542.npy,Anger
img_arr_11855.npy,Anger
img_arr_4688.npy,Anger
img_arr_5865.npy,Sensitivity
img_arr_8231.npy,Sensitivity
img_arr_9706.npy,Sensitivity
img_arr_3916.npy,Sensitivity
img_arr_10206.npy,Sensitivity
img_arr_11675.npy,Sadness
img_arr_16450.npy,Sadness
img_arr_1185.npy,Sadness
img_arr_209.npy,Sadness
img_arr_3996.npy,Sadness
img_arr_2422.npy,Disquietment
img_arr_13810.npy,Disquietment
img_arr_15271.npy,Disquietment
img_arr_15775.npy,Disquietment
img_arr_2537.npy,Disquietment
img_arr_1744.npy,Fear
img_arr_13587.npy,Fear
img_arr_11317.npy,Fear
img_arr_4621.npy,Fear
img_arr_6206.npy,Fear
img_arr_2483.npy,Pain
img_arr_7297.npy,Pain
img_arr_4313.npy,Pain
img_arr_6365.npy,Pain
img_arr_4044.npy,Pain
img_arr_15288.npy,Suffering
img_arr_8673.npy,Suffering
img_arr_15562.npy,Suffering
img_arr_2549.npy,Suffering
img_arr_10840.npy,Suffering
