model,definition,emotion,activity_mean,activity_std,activity_cv,activity_shapiro_p,activity_entropy,arousal_mean,arousal_std,arousal_cv,arousal_shapiro_p,arousal_entropy,valence_mean,valence_std,valence_cv,valence_shapiro_p,valence_entropy,dominance_mean,dominance_std,dominance_cv,dominance_shapiro_p,dominance_entropy
groq_llama-4-maverick-17b-128e-instruct,cambridge,acceptance,0.4025,0.01561249499599599,0.0387888074434683,6.639886716141931e-14,0.11690685126925716,0.4,0.0,0.0,1.0,2.3695592492877317e-09,0.5,0.0,0.0,1.0,2.369559249287735e-09,0.20000000000000004,2.7755575615628914e-17,1.3877787807814454e-16,1.0,2.369559249287734e-09
groq_llama-4-maverick-17b-128e-instruct,cambridge,admiration,0.6849999999999999,0.03570714214271425,0.052127214806882115,2.642038350103791e-11,0.42270908989059086,0.6,0.0,0.0,1.0,2.369559249287735e-09,0.78,0.04000000000000003,0.051282051282051315,2.888758348213648e-07,0.5004024256127483,0.20000000000000004,2.7755575615628914e-17,1.3877787807814454e-16,1.0,2.369559249287734e-09
groq_llama-4-maverick-17b-128e-instruct,cambridge,aggressiveness,0.7825,0.03799671038392669,0.048558096337286506,6.158415075171373e-11,0.4637264418986659,0.7924999999999999,0.026339134382131868,0.03323550079764274,1.1923177269210008e-12,0.26638446537423915,-0.8000000000000002,1.1102230246251565e-16,-1.3877787807814454e-16,1.0,,0.6999999999999998,1.1102230246251565e-16,1.5860328923216525e-16,1.0,2.3695592492877317e-09
groq_llama-4-maverick-17b-128e-instruct,cambridge,amazement,0.8,0.0,0.0,1.0,2.3695592492877317e-09,0.8,0.0,0.0,1.0,2.3695592492877317e-09,0.7249999999999999,0.043301270189221974,0.05972588991616825,8.080369646994802e-07,0.5623351466855895,-0.5,0.0,-0.0,1.0,
groq_llama-4-maverick-17b-128e-instruct,cambridge,anger,0.8,0.0,0.0,1.0,2.3695592492877317e-09,0.8,0.0,0.0,1.0,2.3695592492877317e-09,-0.8000000000000002,1.1102230246251565e-16,-1.3877787807814454e-16,1.0,,0.175,0.1479019945774904,0.8451542547285166,9.674457732255583e-07,2.369559249287734e-09
groq_llama-4-maverick-17b-128e-instruct,cambridge,annoyance,0.675,0.04330127018922192,0.0641500299099584,5.089946694027547e-10,0.5623351466855894,0.6074999999999999,0.02633913438213184,0.04335659980597834,1.1923177269210222e-12,0.2663844653742394,-0.7299999999999999,0.04582575694955844,-0.06277500951994308,1.857046814412901e-06,,-0.49000000000000005,0.04358898943540673,-0.08895712129674843,2.6930778843226267e-09,
groq_llama-4-maverick-17b-128e-instruct,cambridge,anticipation,0.7,0.0,0.0,1.0,2.3695592492877317e-09,0.7,0.0,0.0,1.0,2.3695592492877317e-09,0.6999999999999998,1.1102230246251565e-16,1.5860328923216525e-16,1.0,2.3695592492877317e-09,0.20000000000000004,2.7755575615628914e-17,1.3877787807814454e-16,1.0,2.369559249287734e-09
groq_llama-4-maverick-17b-128e-instruct,cambridge,apprehension,0.6975,0.015612494995995992,0.022383505370603574,6.639886716141931e-14,0.11690685126925718,0.7,0.0,0.0,1.0,2.3695592492877317e-09,-0.78,0.040000000000000036,-0.05128205128205133,2.888758348213648e-07,,-0.5,0.0,-0.0,1.0,
groq_llama-4-maverick-17b-128e-instruct,cambridge,awe,0.7975,0.015612494995996012,0.01957679623322384,6.639886716141931e-14,0.11690685126925723,0.7975,0.01561249499599601,0.019576796233223837,6.639886716141931e-14,0.11690685126925723,0.51,0.04358898943540673,0.08546860673609163,2.6930778843226267e-09,0.19851524546276636,-0.25000000000000006,0.10723805294763607,-0.42895221179054416,2.639967215693841e-07,
groq_llama-4-maverick-17b-128e-instruct,cambridge,boredom,0.2,0.0,0.0,1.0,2.369559249287734e-09,0.205,0.021794494717703363,0.1063146083790408,3.2512410563000524e-13,2.369559249287734e-09,-0.6599999999999998,0.07999999999999999,-0.12121212121212123,2.888758348213648e-07,,-0.5,0.0,-0.0,1.0,
